view_date,ticker,ret_7h_pred,ret_7h_real,abs_error,direction_hit,context_hours_available,context_hours_used,max_context_hours,context_start,context_end
2025-08-12,ABEV3,0.018207281827926636,0.002486051293089986,0.01572123053483665,1,8893,8893,-1,2020-09-25 18:00:00,2025-08-12 13:00:00
2025-08-13,ABEV3,-0.0007342005847021937,-0.020831720903515816,0.020097520318813622,1,8900,8900,-1,2020-09-25 18:00:00,2025-08-13 13:00:00
2025-08-14,ABEV3,-0.017605429515242577,-0.002993385074660182,0.014612044440582395,1,8907,8907,-1,2020-09-25 18:00:00,2025-08-14 13:00:00
2025-08-15,ABEV3,-0.013994359411299229,-0.00016193347983062267,0.013832425931468606,1,8914,8914,-1,2020-09-25 18:00:00,2025-08-15 13:00:00
2025-08-18,ABEV3,-0.014602604322135448,0.005795651115477085,0.020398255437612534,0,8921,8921,-1,2020-09-25 18:00:00,2025-08-18 13:00:00
2025-08-19,ABEV3,-0.016854871064424515,-0.007652822881937027,0.009202048182487488,1,8928,8928,-1,2020-09-25 18:00:00,2025-08-19 13:00:00
2025-08-20,ABEV3,-0.003022029995918274,0.006312808021903038,0.009334838017821312,0,8935,8935,-1,2020-09-25 18:00:00,2025-08-20 13:00:00
2025-08-21,ABEV3,0.031063107773661613,-0.0028751790523529053,0.03393828682601452,0,8942,8942,-1,2020-09-25 18:00:00,2025-08-21 13:00:00
2025-08-22,ABEV3,-0.01341389212757349,0.013386383652687073,0.026800275780260563,0,8949,8949,-1,2020-09-25 18:00:00,2025-08-22 13:00:00
2025-08-25,ABEV3,-0.0026618647389113903,-0.007062181364744902,0.004400316625833511,1,8956,8956,-1,2020-09-25 18:00:00,2025-08-25 13:00:00
2025-08-26,ABEV3,-0.004822004586458206,-0.0014058109372854233,0.003416193649172783,1,8963,8963,-1,2020-09-25 18:00:00,2025-08-26 13:00:00
2025-08-27,ABEV3,-0.018020784482359886,0.00032784781069494784,0.018348632293054834,0,8970,8970,-1,2020-09-25 18:00:00,2025-08-27 13:00:00
2025-08-28,ABEV3,0.011057903990149498,0.011248750612139702,0.00019084662199020386,1,8977,8977,-1,2020-09-25 18:00:00,2025-08-28 13:00:00
2025-08-29,ABEV3,-0.007506636902689934,0.009613615460693836,0.01712025236338377,0,8984,8984,-1,2020-09-25 18:00:00,2025-08-29 13:00:00
2025-09-01,ABEV3,0.01688573509454727,-0.005514667369425297,0.02240040246397257,0,8991,8991,-1,2020-09-25 18:00:00,2025-09-01 13:00:00
2025-09-02,ABEV3,0.014869777485728264,-0.01116627175360918,0.026036049239337444,0,8998,8998,-1,2020-09-25 18:00:00,2025-09-02 13:00:00
2025-09-03,ABEV3,0.010000132024288177,-0.028350695967674255,0.03835082799196243,0,9005,9005,-1,2020-09-25 18:00:00,2025-09-03 13:00:00
2025-09-04,ABEV3,-0.02572389505803585,0.023599397391080856,0.04932329244911671,0,9012,9012,-1,2020-09-25 18:00:00,2025-09-04 13:00:00
2025-09-05,ABEV3,0.0067958286963403225,0.011885938234627247,0.005090109538286924,1,9019,9019,-1,2020-09-25 18:00:00,2025-09-05 13:00:00
2025-09-08,ABEV3,0.012664297595620155,-0.012185074388980865,0.02484937198460102,0,9026,9026,-1,2020-09-25 18:00:00,2025-09-08 13:00:00
