view_date,capital_bl_real_brl,capital_selic_brl,ganho_bl_real_pct,ganho_selic_pct,mode,ret_mkv,capital_mkv,capital_mkv_brl,ganho_mkv_pct,ret_bl_real
2025-09-22,129914.11895202192,110559.60150826548,29.91411895202192,10.559601508265493,monthly,-0.0040340297811333635,1.321711465073472,132171.1465073472,32.1711465073472,-0.0017379530754382255
2025-09-23,130826.9259345437,110620.93607325676,30.826925934543706,10.62093607325676,monthly,0.005422786203215356,1.3288788237709042,132887.88237709043,32.88788237709041,0.0070262338680746605
2025-09-24,130502.42972510944,110682.3046645,30.502429725109454,10.68230466450002,monthly,-0.0033480130676382725,1.3244297201036113,132442.97201036112,32.442972010361125,-0.0024803472764973744
2025-09-25,129944.70418230994,110743.70730087186,29.944704182309945,10.743707300871865,monthly,-0.0032339831019285127,1.3201465367691043,132014.65367691044,32.014653676910434,-0.004273679378799966
2025-09-26,129699.1306488402,110805.1440012593,29.6991306488402,10.805144001259292,monthly,-0.0034692887143122795,1.3155665672878527,131556.65672878528,31.55665672878527,-0.00188983102478113
2025-09-29,130424.8440400992,110866.61478455986,30.424844040099195,10.866614784559856,monthly,0.006213732207788836,1.3237411456384995,132374.11456384996,32.37411456384996,0.005595360490301626
2025-09-30,131102.21793541271,110928.11966968152,31.102217935412703,10.928119669681523,monthly,0.005969680414097478,1.3316434572289526,133164.34572289526,33.16434572289526,0.0051935955936834866
2025-10-01,130425.29515037342,110989.6586755428,30.425295150373422,10.989658675542804,monthly,-0.006944947777110759,1.3223952629607663,132239.52629607663,32.239526296076626,-0.005163320618822631
2025-10-02,129821.16611694168,111051.23182107268,29.82116611694168,11.05123182107266,monthly,-0.006522357235851352,1.3137701286487384,131377.01286487383,31.377012864873844,-0.00463199284107596
2025-10-03,129781.761977642,111112.8391252106,29.781761977641995,11.112839125210597,monthly,0.0013503798606642387,1.315544217372008,131554.4217372008,31.554421737200798,-0.00030352630836927297
2025-10-06,129780.9030122695,111174.48060690658,29.780903012269498,11.174480606906576,monthly,0.000568354245985247,1.316291912513733,131629.1912513733,31.62919125137329,-6.618536837699196e-06
2025-10-07,127990.44555384714,111236.15628512112,27.99044555384713,11.236156285121137,monthly,-0.01529151480135655,1.2961638152506232,129616.38152506232,29.61638152506232,-0.013796000928218866
2025-10-08,128517.41411791636,111297.86617882526,28.51741411791637,11.297866178825268,monthly,0.008736142638851677,1.307487287223971,130748.72872239709,30.74872872239709,0.004117249235197962
2025-10-09,128564.9250660874,111359.61030700056,28.564925066087387,11.359610307000544,monthly,0.0009685676516770529,1.308753677115355,130875.3677115355,30.875367711535496,0.0003696849061050056
2025-10-10,127317.72389560008,111421.38868863902,27.317723895600075,11.421388688639023,monthly,-0.0071510013712995785,1.2993947777756096,129939.47777756097,29.939477777560963,-0.009700944249344867
2025-10-13,128589.66788885756,111483.20134274333,28.589667888857573,11.48320134274332,monthly,0.008136816876672195,1.309967715132874,130996.77151328739,30.996771513287392,0.009990313636933035
2025-10-14,128706.64857459876,111545.0482883266,28.70664857459877,11.545048288326589,monthly,0.0059109499490191866,1.3177108687318553,131771.08687318553,31.771086873185528,0.0009097207237700466
